npi,communityId
1558408633,1438
1558448423,1420
1558458687,1438
1558461970,1388
1558565093,1438
1558652388,1438
1558653923,1407
1568406411,1424
1568406783,1420
1568410363,1390
1568415164,1420
1568448736,1399
1568453207,1400
1568455517,1407
1568465623,1438
1568488708,1416
1568551455,1408
1568559698,1438
1578501904,1388
1578530796,1408
1578531174,1407
1578531851,1407
1578555611,1416
1578591756,1407
1578597704,1442
1578597902,1420
1578604906,1424
1578615522,1399
1578650602,1438
1578655791,1438
1578677274,1388
1578692695,1388
1578728283,1407
1578766697,1388
1578857017,1407
1588655021,1423
1588655153,1424
1588655377,1400
1588684104,1399
1588738744,1399
1588788301,1439
1588789044,1423
1588807168,1438
1588822803,1438
1588899082,1388
1588928980,1420
1598007049,1438
1598021073,1407
1598022493,1438
1598718330,1439
1598719536,1423
1598723645,1390
1598736266,1420
1598738205,1438
1598750523,1438
1598750697,1388
1598812455,1423
1598833808,1438
1598863011,1438
1598871642,1424
1598887473,1420
1598926248,1442
1598938060,1438
1598973273,1420
1609295351,1424
1609840131,1400
1609844489,1420
1609848738,1424
1609963727,1438
1609968015,1438
1609970797,1423
1619004066,1438
1619024429,1438
1619051729,1438
1619064755,1438
1619075207,1423
1619180403,1439
1619199486,1438
1619254141,1424
1619269008,1424
1619906856,1420
1619916970,1423
1619945292,1439
1619969482,1420
1629025648,1423
1629039292,1407
1629040522,1399
1629064738,1416
1629068556,1438
1629094438,1399
1629160056,1438
1629176573,1438
1629202593,1439
1639112048,1388
1639123615,1400
1639125560,1403
1639151400,1420
1639186349,1424
1639201130,1423
1639226517,1438
1639249774,1388
1639261068,1438
1639266737,1438
1639278062,1438
1639314776,1424
1639343346,1438
1639362171,1438
1639497779,1403
1649212598,1399
1649217969,1438
1649218819,1423
1649262338,1424
1649274515,1424
1649278474,1423
1649293390,1420
1649327446,1438
1649327537,1438
1649362062,1438
1649368366,1438
1649426016,1420
1649480237,1403
1649566258,1423
1649659582,1416
1649680406,1438
1659342384,1423
1659362002,1438
1659375228,1423
1659425940,1438
1659428456,1438
1659428548,1399
1659466381,1438
1659473452,1420
1659474336,1407
1659514354,1438
1659530194,1438
1659570760,1438
1659588929,1420
1659631299,1407
1659639847,1399
1659647899,1438
1659710077,1424
1659714798,1388
1669433090,1442
1669443875,1420
1669463337,1424
1669470555,1439
1669473716,1438
1669529525,1438
1669529616,1438
1669554556,1438
1669556148,1390
1669567897,1399
1669615639,1438
1669657763,1438
1669793865,1399
1669799532,1420
1679511554,1438
1679515431,1423
1679517445,1420
1679521090,1424
1679539886,1388
1679546717,1439
1679557565,1399
1679558738,1399
1679568364,1388
1679576839,1424
1679620470,1423
1679657787,1438
1679663785,1420
1679665095,1442
1679667521,1399
1679689285,1399
1679702716,1423
1679832661,1399
1679832950,1408
1679835441,1438
1679924005,1400
1689647489,1390
1689653461,1408
1689677619,1403
1689686503,1438
1689694887,1420
1689764383,1438
1689784555,1407
1689841744,1438
1689891889,1407
1699088096,1424
1699099663,1438
1699194688,1438
1699722371,1438
1699734798,1442
1699737056,1400
1699760587,1388
1699773150,1424
1699815282,1438
1699834903,1399
1699861559,1390
1699947655,1438
1700029493,1388
1700080298,1438
1700105319,1438
1700267218,1420
1700810371,1399
1700823713,1420
1700827763,1424
1700839263,1423
1700846334,1420
1700852688,1438
1700871191,1407
1700933504,1438
1700959871,1388
1700978129,1438
1710008651,1439
1710032255,1388
1710058136,1407
1710086152,1438
1710100656,1424
1710115159,1438
1710177654,1438
1710270194,1438
1710368220,1416
1710920467,1416
1710968037,1439
1710975248,1390
1710998760,1438
1720020761,1407
1720029101,1399
1720032345,1390
1720033038,1438
1720034127,1399
1720079114,1400
1720144454,1424
1720158868,1388
1720181738,1388
1720195878,1420
1720203417,1438
1720241185,1423
1720241318,1400
1720282205,1438
1720284086,1438
1720340193,1439
1720371594,1420
1720493927,1399
1730102278,1420
1730114315,1399
1730115981,1438
1730126574,1388
1730145640,1423
1730224320,1439
1730236613,1423
1730241084,1439
1730241159,1420
1730276874,1438
1730292913,1420
1730295742,1438
1730345505,1388
1730474321,1423
1730490475,1400
1740221878,1438
1740240902,1407
1740252642,1400
1740258011,1407
1740262104,1423
1740271170,1423
1740271402,1423
1740275221,1424
1740288810,1439
1740311521,1399
1740365253,1438
1740484229,1438
1740487305,1438
1750324315,1407
1750328852,1388
1750338539,1408
1750368403,1420
1750376786,1424
1750384780,1403
1750389607,1439
1750390530,1400
1750394060,1438
1750444139,1399
1750480182,1438
1750494969,1407
1750524260,1400
1750524856,1403
1750608113,1403
1750692042,1400
1750701900,1424
1750796447,1439
1760414429,1399
1760475396,1423
1760478192,1388
1760574610,1407
1760579874,1438
1760591788,1442
1760643803,1438
1760682280,1438
1760702658,1438
1760725915,1442
1760749030,1438
1760762348,1390
1770519704,1423
1770521502,1423
1770525107,1420
1770538738,1400
1770557159,1438
1770575607,1416
1770578882,1442
1770582140,1423
1770639619,1420
1770640187,1424
1770711657,1438
1770774754,1388
1770842759,1439
1780623579,1416
1780641191,1438
1780654285,1420
1780667006,1399
1780685743,1439
1780715342,1439
1780776104,1438
1780778969,1424
1780804336,1438
1780819375,1420
1780837203,1438
1780904631,1407
1790001410,1438
1790708097,1439
1790710374,1439
1790723013,1423
1790729887,1424
1790736759,1438
1790753259,1439
1790754646,1400
1790757821,1388
1790758514,1420
1790766590,1420
1790770378,1399
1790776672,1388
1790833267,1390
1790869808,1438
1790884138,1438
1790891315,1399
1801007596,1420
1801030523,1388
1801086665,1438
1801820519,1390
1801829114,1388
1801866199,1399
1801880737,1388
1801888060,1424
1801894142,1400
1801943600,1388
1801973490,1388
1801996012,1423
1811044787,1439
1811077712,1388
1811089238,1438
1811104003,1399
1811158942,1420
1811200033,1403
1811905409,1390
1811928385,1438
1811935612,1408
1811985815,1420
1821066341,1403
1821069501,1399
1821080961,1416
1821110933,1438
1821145624,1390
1821180241,1438
1821185935,1438
1821185968,1438
1821257502,1407
1821269465,1388
1821301920,1438
1821302597,1438
1821350349,1439
1821386525,1439
1831101708,1438
1831121011,1438
1831122860,1420
1831123488,1399
1831139799,1423
1831149152,1424
1831169069,1403
1831172618,1438
1831181957,1407
1831186188,1408
1831262385,1438
1831269406,1420
1831281245,1442
1831287630,1420
1831289255,1423
1831345669,1407
1841201886,1442
1841225661,1420
1841237450,1423
1841266582,1400
1841278157,1408
1841282779,1416
1841347705,1438
1841347721,1438
1841360930,1420
1841387941,1424
1841387974,1438
1841418860,1424
1841566056,1438
1851303788,1438
1851318562,1438
1851329445,1442
1851345755,1439
1851362628,1420
1851382568,1442
1851382618,1442
1851384747,1407
1851407548,1407
1851443063,1438
1851474092,1388
1851483275,1438
1851488985,1438
1851490288,1438
1851554836,1439
1851617021,1438
1861405409,1420
1861430621,1423
1861437063,1399
1861451338,1420
1861452138,1390
1861464430,1439
1861479545,1407
1861485039,1399
1861496838,1438
1861497570,1388
1861507782,1407
1861541351,1399
1861576977,1438
1861639031,1407
1861668907,1388
1861689432,1420
1861751703,1424
1861888182,1438
1871521922,1442
1871530832,1403
1871539502,1388
1871565457,1399
1871565465,1399
1871573196,1424
1871577445,1438
1871584532,1424
1871589473,1439
1871614370,1390
1871634204,1438
1871634295,1438
1871644781,1442
1871677971,1438
1871685297,1438
1871685743,1423
1871696096,1399
1871756080,1388
1871770123,1400
1881012664,1420
1881089795,1388
1881619609,1408
1881624450,1420
1881638179,1424
1881638971,1424
1881639136,1424
1881642791,1420
1881642809,1388
1881646073,1439
1881673093,1439
1881803492,1399
1881836856,1388
1881850667,1407
1891000923,1407
1891011896,1438
1891114443,1438
1891132767,1408
1891708012,1407
1891725479,1403
1891726303,1399
1891738225,1442
1891749420,1439
1891767794,1399
1891773057,1407
1891782454,1388
1891788840,1407
1891842787,1438
1891843975,1438
1891861506,1399
1891879904,1438
1891887204,1438
1891887212,1438
1891887659,1407
1891963591,1424
1902004005,1424
1902007107,1388
1902013410,1439
1902035371,1407
1902062391,1420
1902070238,1423
1902075500,1420
1902078041,1407
1902162431,1423
1902192008,1438
1902196165,1407
1902224041,1420
1902328362,1424
1902812571,1439
1902823099,1399
1902842412,1388
1902858574,1399
1902953706,1423
1902993009,1438
1912016650,1438
1912060468,1407
1912060906,1438
1912099342,1438
1912101494,1423
1912166752,1407
1912276890,1420
1912325150,1420
1912388422,1416
1912947318,1423
1912954231,1423
1912970021,1424
1912977430,1400
1912979501,1399
1912989989,1439
1922045137,1423
1922048883,1388
1922092535,1388
1922155811,1438
1922195056,1438
1922196435,1442
1922241959,1390
1922251982,1438
1922278126,1416
1922280692,1403
1922285337,1423
1922319037,1439
1922394840,1400
1922444363,1388
1932102670,1403
1932128782,1424
1932139474,1442
1932146032,1388
1932153244,1438
1932170750,1420
1932172624,1416
1932179389,1439
1932180007,1438
1932188554,1407
1932190360,1439
1932274503,1420
1932283041,1438
1932296035,1438
1932296043,1438
1932321395,1438
1932331550,1423
1932372505,1424
1932381795,1438
1932477171,1438
1942203120,1424
1942203849,1442
1942203963,1424
1942226519,1424
1942245683,1438
1942252952,1439
1942255575,1439
1942268693,1438
1942290333,1399
1942295035,1388
1942299359,1420
1942314075,1439
1942348081,1438
1942357819,1438
1942364948,1438
1942384821,1438
1942397054,1438
1942412358,1420
1942429816,1423
1942442710,1400
1942594932,1420
1942620232,1420
1942676432,1442
1952304966,1403
1952304990,1442
1952307233,1424
1952345001,1424
1952353054,1439
1952386393,1420
1952386401,1399
1952397606,1416
1952404402,1420
1952415499,1400
1952454332,1416
1952485062,1438
1952493371,1438
1952590705,1438
1952629867,1390
1952689135,1438
1952737439,1438
1962409433,1416
1962450973,1442
1962470567,1407
1962490359,1420
1962497867,1388
1962499582,1388
1962515023,1407
1962632968,1407
1962645259,1439
1962656322,1407
1962662858,1420
1962664680,1420
1962778167,1423
1962816207,1408
1972548220,1424
1972573038,1420
1972658060,1400
1972674968,1420
1972708667,1407
1972718104,1424
1972749174,1420
1972805414,1438
1982614814,1423
1982644886,1423
1982650024,1439
1982661617,1420
1982672507,1420
1982689279,1442
1982692844,1438
1982703328,1442
1982724076,1399
1982751707,1438
1982796306,1438
1982829297,1407
1982922878,1438
1982961025,1438
1982999694,1438
1992091995,1420
1992125983,1438
1992148696,1438
1992770929,1399
1992776405,1420
1992790091,1388
1992852792,1438
1992861314,1424
1992897326,1438
1992985949,1388
