referring_pcp_npi,receiving_hospital_npi,transaction_count
1427008416,1538114434,56
1427073451,1538114434,132
1063483568,1538114434,67
1679832661,1538114434,885
1023103462,1538114434,60
1255301800,1538114434,198
1750390530,1538114434,57
1679689285,1538114434,2651
1336230424,1538114434,157
1952415499,1295780476,1057
1548571052,1295780476,55
1396739140,1295780476,251
1154313708,1295780476,401
1326046673,1295780476,1540
1245313741,1093769606,64
1245313741,1295780476,1210
1073856696,1639123615,376
1073856696,1295780476,2192
1427079946,1639123615,100
1427079946,1295780476,3071
1427079946,1417086596,55
1427079946,1093769606,112
1376506337,1295780476,1447
1962499582,1295780476,67
1700810371,1295780476,54
1699737056,1295780476,160
1184612921,1295780476,337
1710032255,1295780476,51
1770538738,1295780476,529
1124175922,1295780476,431
1407890593,1295780476,146
1750524260,1295780476,81
1043294747,1295780476,84
1740252642,1295780476,177
1740252642,1417086596,169
1417011008,1295780476,66
1104818889,1639123615,63
1104818889,1295780476,1494
1174565543,1295780476,63
1487674016,1295780476,130
1083609481,1295780476,96
1841266582,1295780476,411
1376635052,1295780476,165
1063739480,1295780476,919
1720079114,1295780476,247
1588684104,1295780476,99
1730490475,1295780476,337
1801866199,1295780476,107
1063506921,1295780476,69
1417131715,1639123615,58
1053519785,1295780476,61
1992770929,1295780476,51
1477963999,1295780476,504
1568453207,1295780476,285
1174543516,1295780476,70
1184697898,1295780476,172
1447242565,1295780476,73
1720241318,1295780476,434
1629094438,1295780476,71
1427046622,1295780476,127
1912977430,1295780476,174
1083659163,1295780476,489
1447679881,1295780476,514
1871696096,1295780476,89
1801894142,1295780476,1678
1336147685,1295780476,1593
1144383738,1295780476,100
1578615522,1295780476,73
1487644522,1295780476,173
1609840131,1295780476,122
1871770123,1295780476,58
1942226519,1295780476,168
1952386401,1295780476,339
1578677274,1295780476,107
1447256490,1295780476,59
1255355277,1295780476,68
1750692042,1295780476,1770
1932128782,1295780476,82
1386707446,1295780476,229
1083665962,1295780476,197
1811104003,1295780476,272
1588655377,1417086596,449
1588655377,1295780476,373
1245368943,1295780476,617
1053337717,1093769606,77
1053337717,1417086596,60
1053337717,1639123615,100
1053337717,1295780476,3082
1972658060,1417086596,61
1972658060,1093769606,75
1972658060,1639123615,107
1972658060,1295780476,2834
1255301800,1295780476,328
1750390530,1295780476,335
1285615278,1295780476,109
1922394840,1295780476,1860
1801888060,1295780476,51
1316944648,1295780476,81
1336230424,1295780476,358
1902823099,1417938846,277
1891861506,1417938846,125
1104890003,1417938846,77
1447307251,1417938846,63
1144259631,1417938846,84
1700810371,1417938846,159
1053453795,1417938846,74
1790891315,1417938846,470
1013179860,1417938846,151
1205826526,1417938846,1765
1508838400,1417938846,108
1275888992,1417938846,122
1558355941,1417938846,239
1104933738,1417938846,872
1134410129,1417938846,57
1780667006,1417938846,288
1912979501,1417938846,51
1871696096,1417938846,67
1275536468,1417938846,294
1447366075,1417938846,345
1861541351,1417938846,1422
1225027014,1417938846,167
1508916586,1417938846,339
1942290333,1417938846,151
1184619124,1417938846,99
1144309121,1417938846,63
1508935776,1417938846,586
1285615278,1417938846,87
1679689285,1417938846,185
1861541351,1033200852,61
1134211550,1861479545,112
1376508374,1861479545,2310
1912166752,1861479545,1172
1093155913,1861479545,146
1942429816,1861479545,157
1043400435,1861479545,620
1578531174,1861479545,1193
1932381795,1861479545,552
1831169069,1861479545,149
1962515023,1861479545,1876
1316054133,1861479545,1724
1689784555,1861479545,275
1548332505,1861479545,182
1881850667,1861479545,303
